txn_id	timestamp	user_id	amount	merchant_category	channel	is_fraud
90	1/1/2023 14:09	215	12.2	Grocery	UPI	0
91	1/1/2023 14:17	404	35.62	Travel	Credit Card	0
92	1/1/2023 14:23	439	21.69	Restaurants	Credit Card	0
93	1/1/2023 14:25	95	184.98	Medical	Credit Card	0
94	1/1/2023 14:27	315	10.33	Fuel	Credit Card	0
95	1/1/2023 14:34	482	12.07	Fashion	Credit Card	0
96	2/21/2023 8:46	285	23.85	Utility Bills	UPI	0
97	1/1/2023 14:36	96	34.43	Fashion	Debit Card	0
98	1/1/2023 14:47	9	55.5	Fuel	NetBanking	0
99	1/1/2023 14:52	332	109.53	Travel	UPI	0
100	1/1/2023 14:59	197	22.44	Grocery	UPI	0
101	1/1/2023 15:03	46	21.63	Fashion	UPI	0
102	1/1/2023 15:03	9	60.93	Electronics	Credit Card	0
103	1/1/2023 15:05	177	50.14	Grocery	NetBanking	0
104	1/1/2023 15:06	117	46.75	Utility Bills	Debit Card	0
105	1/1/2023 15:16	492	58.74	Fuel	UPI	0
106	2/10/2023 9:39	261	29.64	Fuel	UPI	0
107	1/1/2023 15:20	438	19.4	Travel	UPI	0
108	1/1/2023 15:25	165	10.83	Utility Bills	UPI	0
109	1/1/2023 15:28	314	109.75	Utility Bills	Credit Card	0
110	1/1/2023 15:29	429	10	Grocery	Credit Card	0
111	1/1/2023 15:31	220	18.03	Electronics	UPI	0
112	1/1/2023 15:33	233	35.74	Utility Bills	UPI	0
113	1/1/2023 15:34	208	81.02	Grocery	Credit Card	0
114	1/1/2023 15:39	460	13.29	Medical	NetBanking	0
115	1/1/2023 15:42	484	26.72	Grocery	NetBanking	0
116	1/1/2023 15:44	41	61.71	Medical	UPI	0
117	1/1/2023 15:45	215	17.79	Utility Bills	UPI	0
118	1/1/2023 15:47	233	44.63	Utility Bills	Credit Card	0
119	1/1/2023 15:52	37	82.95	Fuel	Credit Card	0
120	1/1/2023 15:53	109	48.71	Travel	Credit Card	0
121	1/1/2023 15:58	464	42.07	Grocery	UPI	0
122	1/1/2023 16:00	147	18.62	Grocery	Debit Card	0
123	1/1/2023 16:01	50	18	Restaurants	Credit Card	0
124	1/1/2023 16:06	456	37.19	Electronics	Debit Card	0
125	1/1/2023 16:06	258	21.78	Fashion	UPI	0
126	1/1/2023 16:11	306	11.48	Utility Bills	Credit Card	0
127	1/1/2023 16:19	388	45.19	Fuel	Debit Card	0
128	1/1/2023 16:24	108	53.3	Medical	UPI	0
129	1/1/2023 16:25	306	54.03	Medical	UPI	0
130	1/1/2023 16:27	147	24.99	Fashion	UPI	0
131	1/1/2023 16:30	391	72.24	Restaurants	NetBanking	0
132	1/1/2023 16:31	304	13.27	Travel	NetBanking	0
133	1/1/2023 16:42	208	77.53	Travel	NetBanking	0
134	1/1/2023 16:48	150	10.46	Fuel	NetBanking	0
135	1/1/2023 16:49	437	19.54	Grocery	UPI	0
136	1/1/2023 16:50	358	10.87	Fuel	Debit Card	0
137	1/1/2023 16:52	100	101.09	Grocery	UPI	0
138	1/1/2023 16:55	262	10	Utility Bills	UPI	0
139	1/1/2023 16:56	67	24.73	Fashion	Debit Card	0
140	1/1/2023 17:01	71	121.37	Fuel	NetBanking	0
141	1/1/2023 17:04	207	38.52	Electronics	UPI	0
142	1/1/2023 17:05	193	10	Restaurants	Debit Card	0
143	1/1/2023 17:09	387	24	Travel	UPI	0
144	1/1/2023 17:09	412	116.47	Medical	UPI	0
145	1/1/2023 17:12	146	46.55	Fuel	UPI	0
146	1/1/2023 17:15	150	128.74	Fashion	Credit Card	0
147	1/1/2023 17:15	427	78.18	Fuel	UPI	0
148	1/1/2023 17:23	46	64.58	Fashion	UPI	0
149	1/1/2023 17:24	407	60.68	Utility Bills	UPI	0
150	1/1/2023 17:28	7	45.72	Grocery	UPI	0
151	1/1/2023 17:31	432	135.78	Medical	UPI	0
152	1/1/2023 17:32	147	24.11	Grocery	UPI	0
153	1/1/2023 17:32	231	53.54	Travel	Debit Card	0
154	1/1/2023 17:35	208	41.8	Utility Bills	UPI	0
155	1/1/2023 17:37	260	57.29	Grocery	UPI	0
156	1/1/2023 17:44	67	58	Travel	Credit Card	0
157	1/1/2023 17:47	30	37.18	Grocery	UPI	0
158	1/14/2023 12:17	212	44.94	Grocery	UPI	0
159	1/1/2023 17:50	440	87.56	Fashion	UPI	0
160	1/1/2023 17:50	116	70.17	Medical	UPI	0
161	1/1/2023 17:51	147	48.78	Utility Bills	Debit Card	0
162	1/1/2023 17:52	109	38.23	Medical	UPI	0
163	1/1/2023 17:52	223	62.47	Fashion	UPI	0
164	1/1/2023 17:52	165	11.02	Electronics	Debit Card	0
165	1/1/2023 17:58	108	27.94	Travel	UPI	0
166	1/1/2023 17:59	174	16.42	Travel	UPI	0
167	1/1/2023 18:01	362	12.62	Restaurants	UPI	0
168	1/1/2023 18:05	151	10	Grocery	UPI	0
169	1/1/2023 18:12	459	28.97	Grocery	Debit Card	0
170	1/1/2023 18:14	296	106.27	Grocery	UPI	0
171	1/1/2023 18:15	341	34.63	Medical	UPI	0
172	1/1/2023 18:16	147	37.49	Medical	Credit Card	0
173	1/1/2023 18:20	187	11.31	Electronics	Credit Card	0
174	1/1/2023 18:21	437	24.69	Grocery	NetBanking	0
175	1/1/2023 18:23	439	102.56	Medical	Credit Card	0
176	1/1/2023 18:24	7	38.6	Grocery	Credit Card	0
177	1/1/2023 18:26	330	103.78	Restaurants	UPI	0
178	1/1/2023 18:28	484	118.5	Utility Bills	UPI	0
179	1/1/2023 18:32	217	10.57	Fuel	Debit Card	0
180	1/1/2023 18:38	307	22.14	Utility Bills	Credit Card	0
181	1/1/2023 18:39	231	122.7	Fashion	UPI	0
182	1/1/2023 18:41	158	48	Electronics	Debit Card	0
183	1/1/2023 18:45	453	16.64	Fashion	Debit Card	0
184	1/1/2023 18:46	477	40.63	Grocery	Credit Card	0
185	1/1/2023 18:47	108	186.86	Fashion	UPI	0
186	1/1/2023 18:50	250	49.43	Fashion	Credit Card	0
187	1/1/2023 18:53	473	26.96	Electronics	Debit Card	0
188	1/1/2023 18:55	445	28.27	Electronics	Credit Card	0
189	1/1/2023 18:55	277	65.38	Utility Bills	UPI	0
190	1/1/2023 18:55	150	46.73	Grocery	Debit Card	0
191	1/1/2023 18:57	282	15.28	Grocery	Credit Card	0
192	1/1/2023 18:57	340	10.19	Utility Bills	Credit Card	0
193	1/1/2023 18:59	9	23.12	Grocery	Credit Card	0
194	1/1/2023 18:59	121	111.55	Grocery	Credit Card	0
195	1/1/2023 19:06	307	65.13	Fashion	UPI	0
196	1/1/2023 19:09	85	37.91	Electronics	UPI	0
197	1/1/2023 19:10	296	32.15	Fuel	Debit Card	0
198	1/1/2023 19:12	433	67.7	Medical	UPI	0
199	1/1/2023 19:15	492	44.46	Restaurants	UPI	0
200	1/1/2023 19:21	408	11.4	Grocery	NetBanking	0
201	1/1/2023 19:22	15	17.38	Electronics	Credit Card	1
202	1/1/2023 19:24	109	11.98	Medical	NetBanking	0
203	1/1/2023 19:25	456	50.33	Grocery	Credit Card	0
204	1/1/2023 19:30	22	21.55	Fuel	UPI	0
205	1/1/2023 19:31	148	20.5	Utility Bills	Debit Card	0
206	1/1/2023 19:33	485	57.68	Grocery	NetBanking	0
207	1/1/2023 19:35	231	82.7	Grocery	UPI	0
208	1/1/2023 19:36	42	35.7	Travel	Debit Card	0
209	1/1/2023 19:41	111	41.65	Grocery	UPI	0
210	1/1/2023 19:45	302	13.14	Medical	UPI	0
211	1/1/2023 19:50	298	51.38	Grocery	UPI	0
212	1/1/2023 19:50	64	23.27	Utility Bills	Credit Card	0
213	1/1/2023 19:52	461	29.6	Restaurants	UPI	0
214	1/1/2023 19:53	396	25.72	Travel	UPI	0
215	1/1/2023 19:54	147	12.82	Grocery	UPI	0
216	1/1/2023 19:55	111	31.29	Medical	UPI	0
217	1/1/2023 19:56	396	50.47	Utility Bills	UPI	0
218	1/1/2023 19:58	101	48.12	Medical	UPI	0
219	1/1/2023 20:08	126	116.15	Medical	NetBanking	0
220	1/1/2023 20:08	198	68.3	Utility Bills	UPI	0
221	1/1/2023 20:09	11	17.73	Utility Bills	UPI	0
222	1/1/2023 20:12	333	31.3	Restaurants	UPI	0
223	1/1/2023 20:13	165	26.4	Fashion	UPI	0
224	1/1/2023 20:19	32	36.25	Fashion	UPI	0
225	1/1/2023 20:20	213	24.67	Medical	Debit Card	0
226	1/1/2023 20:20	274	53.7	Fashion	UPI	0
227	1/1/2023 20:21	41	10	Fuel	Credit Card	0
228	1/1/2023 20:23	470	27.71	Grocery	Debit Card	0
229	1/1/2023 20:25	124	52.49	Grocery	UPI	0
230	1/1/2023 20:27	96	54.65	Restaurants	Credit Card	0
231	1/1/2023 20:27	266	37.58	Travel	Credit Card	0
232	1/1/2023 20:32	231	61.32	Electronics	Credit Card	0
233	1/1/2023 20:34	7	21.31	Grocery	NetBanking	0
234	1/1/2023 20:34	150	48.57	Electronics	Debit Card	0
235	1/1/2023 20:35	282	16.07	Electronics	UPI	0
236	1/1/2023 20:35	22	51.72	Restaurants	UPI	0
237	1/1/2023 20:36	234	51.77	Fuel	Debit Card	0
238	1/1/2023 20:41	492	50.28	Grocery	UPI	0
239	1/1/2023 20:41	108	20.98	Medical	Debit Card	0
240	1/1/2023 20:42	491	42.23	Travel	Credit Card	0
241	1/1/2023 20:45	157	54.24	Restaurants	NetBanking	0
242	1/1/2023 20:51	262	36.87	Fuel	UPI	0
243	1/1/2023 20:52	166	74.82	Electronics	UPI	0
244	1/1/2023 21:07	256	57.7	Electronics	UPI	0
245	1/1/2023 21:08	85	55.7	Fashion	UPI	0
246	1/1/2023 21:08	40	18.78	Fashion	Debit Card	0
247	1/1/2023 21:11	298	37.4	Electronics	UPI	0
248	1/1/2023 21:14	325	68.44	Utility Bills	Credit Card	0
249	1/1/2023 21:15	248	47.66	Medical	Credit Card	0
250	1/1/2023 21:16	166	91.01	Travel	Credit Card	0
251	1/1/2023 21:18	401	101.54	Restaurants	UPI	0
252	1/1/2023 21:20	382	17.98	Restaurants	NetBanking	0
253	2/8/2023 9:44	95	64.31	Electronics	UPI	0
254	1/1/2023 21:26	219	16.54	Fuel	Debit Card	0
255	1/1/2023 21:33	494	57.85	Fashion	Credit Card	0
256	1/1/2023 21:33	366	43.23	Utility Bills	UPI	0
257	1/1/2023 21:35	231	82.52	Grocery	Credit Card	0
258	1/1/2023 21:41	147	14.28	Fuel	Credit Card	0
259	1/1/2023 21:43	7	109.99	Travel	UPI	1
260	1/1/2023 21:48	322	10	Fuel	UPI	0
261	1/1/2023 21:56	298	48.73	Grocery	Debit Card	0
262	1/1/2023 21:59	446	18.13	Grocery	Credit Card	0
263	1/2/2023 9:01	453	18.15	Medical	Debit Card	0
264	1/2/2023 9:05	413	161.45	Fashion	UPI	0
265	1/2/2023 9:05	147	37.09	Grocery	Credit Card	0
266	1/2/2023 9:21	444	85.26	Utility Bills	Credit Card	0
267	1/2/2023 9:36	253	95.32	Medical	UPI	0
268	1/2/2023 9:40	328	104.34	Utility Bills	UPI	0
269	1/2/2023 9:44	277	103.49	Travel	UPI	0
270	1/2/2023 9:48	150	36.04	Fuel	UPI	0
271	2/27/2023 19:43	267	45.06	Utility Bills	Credit Card	0
272	1/2/2023 9:53	231	28.58	Grocery	Debit Card	0
273	1/2/2023 10:02	202	101.25	Electronics	UPI	0
274	1/2/2023 10:02	81	41.45	Medical	UPI	0
275	1/2/2023 10:09	51	45.01	Restaurants	Debit Card	0
276	1/2/2023 10:21	351	10.29	Restaurants	NetBanking	0
277	1/2/2023 10:40	150	43.93	Grocery	Credit Card	0
278	1/2/2023 10:40	461	49.12	Restaurants	NetBanking	0
279	1/2/2023 10:52	417	542.85	Grocery	UPI	0
280	1/2/2023 10:55	204	93.67	Fuel	UPI	0
281	1/2/2023 11:16	81	47.1	Medical	Credit Card	0
282	1/2/2023 11:26	166	45.26	Medical	UPI	0
283	1/2/2023 11:31	340	47.79	Grocery	Debit Card	0
284	1/2/2023 11:35	147	17.74	Fashion	Credit Card	0
285	1/2/2023 11:45	147	15.06	Electronics	Credit Card	0
286	1/2/2023 11:46	218	45.6	Fashion	UPI	0
287	1/2/2023 11:50	260	38.39	Utility Bills	UPI	0
288	1/2/2023 11:54	3	41.73	Grocery	Debit Card	0
289	1/2/2023 11:55	325	212.57	Utility Bills	UPI	0
290	1/2/2023 12:05	233	103.11	Restaurants	NetBanking	0
291	1/2/2023 12:19	483	68.96	Restaurants	NetBanking	0
292	1/2/2023 12:24	208	54.3	Fashion	Credit Card	0
293	1/2/2023 12:26	477	27.11	Medical	Credit Card	0
294	1/2/2023 12:45	55	14.8	Medical	UPI	0
295	1/2/2023 12:50	7	111.44	Electronics	NetBanking	0
296	1/2/2023 12:51	197	26.29	Fuel	UPI	0
297	1/2/2023 12:52	435	19.16	Grocery	NetBanking	0
298	1/2/2023 12:56	444	34.47	Fuel	Debit Card	0
299	1/2/2023 13:03	238	31.62	Travel	UPI	0
300	1/2/2023 13:04	282	23.35	Restaurants	NetBanking	0
301	1/2/2023 13:06	460	22.83	Grocery	UPI	0
302	1/2/2023 13:11	108	51.98	Medical	UPI	0
303	1/2/2023 13:17	361	99.46	Restaurants	UPI	0
304	1/2/2023 13:19	492	117.28	Fashion	UPI	0
305	1/2/2023 13:27	418	94.77	Electronics	UPI	0
306	1/2/2023 13:29	382	10	Utility Bills	Debit Card	0
307	1/2/2023 13:32	349	10.34	Grocery	Debit Card	0
308	1/2/2023 13:35	72	31.05	Grocery	Debit Card	0
309	1/2/2023 13:43	119	10.41	Utility Bills	Debit Card	0
310	1/2/2023 13:45	240	13	Fashion	UPI	0
311	1/2/2023 13:49	398	32.3	Fashion	Debit Card	0
312	1/2/2023 13:55	403	71.32	Utility Bills	UPI	0
313	1/2/2023 14:01	294	45.72	Utility Bills	Debit Card	0
314	1/2/2023 14:01	294	58.52	Grocery	Debit Card	0
315	1/2/2023 14:07	72	29.7	Fashion	UPI	0
316	1/2/2023 14:14	477	22.64	Fuel	UPI	0
317	1/2/2023 14:14	420	232.38	Fashion	Debit Card	0
318	1/2/2023 14:23	77	31.74	Fashion	Credit Card	0
319	1/2/2023 14:25	362	24.51	Medical	UPI	0
320	1/2/2023 14:26	473	43.47	Restaurants	UPI	0
321	1/2/2023 14:26	441	120.33	Travel	Credit Card	0
322	1/2/2023 14:32	165	16.64	Medical	UPI	0
323	1/2/2023 14:55	288	47.92	Fashion	NetBanking	0
324	1/2/2023 14:56	258	36.4	Fashion	Credit Card	0
325	1/2/2023 15:25	65	39.58	Electronics	UPI	0
326	1/2/2023 15:25	471	16.75	Restaurants	UPI	0
327	1/2/2023 15:28	85	32.86	Grocery	Debit Card	0
328	1/2/2023 15:41	313	48.38	Restaurants	UPI	0
329	1/2/2023 15:44	204	18.17	Medical	Credit Card	0
330	1/2/2023 15:46	412	25.81	Electronics	UPI	1
331	1/2/2023 15:52	98	50.52	Electronics	Debit Card	0
332	1/2/2023 15:56	22	17.47	Restaurants	NetBanking	0
333	1/2/2023 15:59	25	19.43	Electronics	Debit Card	0
334	1/2/2023 16:03	60	150.57	Electronics	UPI	0
335	1/2/2023 16:03	81	56.9	Electronics	UPI	0
336	1/2/2023 16:11	11	12.53	Grocery	Debit Card	0
337	1/2/2023 16:21	292	14.7	Electronics	Credit Card	0
338	1/2/2023 16:26	3	52.11	Medical	UPI	0
339	1/2/2023 16:32	285	10.02	Restaurants	UPI	0
340	1/2/2023 16:35	51	13.06	Travel	UPI	0
341	1/2/2023 16:39	189	41.87	Fuel	UPI	0
342	1/2/2023 16:43	370	50.89	Utility Bills	UPI	0
343	1/2/2023 16:44	314	45.17	Restaurants	UPI	0
344	1/2/2023 16:46	215	112.78	Grocery	Credit Card	0
345	1/2/2023 16:47	258	40.82	Utility Bills	UPI	0
346	1/2/2023 16:52	96	33.59	Grocery	Credit Card	0
347	1/2/2023 16:57	92	128.86	Fashion	Credit Card	0
348	1/2/2023 16:57	341	19.19	Grocery	UPI	0
349	1/2/2023 17:01	479	23.75	Travel	UPI	0
350	1/2/2023 17:02	165	103.21	Fashion	NetBanking	0
351	1/2/2023 17:06	124	27.54	Restaurants	NetBanking	0
352	1/2/2023 17:10	145	43.9	Grocery	Debit Card	0
353	1/2/2023 17:12	262	23.1	Electronics	NetBanking	0
354	1/2/2023 17:12	43	44.4	Fuel	Credit Card	0
355	1/2/2023 17:13	322	52.26	Fashion	UPI	0
356	1/2/2023 17:15	391	12.04	Restaurants	NetBanking	0
357	1/2/2023 17:23	89	37.75	Fashion	NetBanking	0
358	1/2/2023 17:24	178	12.95	Fashion	Debit Card	0
359	1/2/2023 17:28	324	57.98	Fashion	NetBanking	0
360	1/2/2023 17:30	240	35.66	Restaurants	Credit Card	0
361	1/2/2023 17:32	187	15.92	Medical	Credit Card	0
362	1/2/2023 17:36	148	26.38	Utility Bills	UPI	0
363	1/2/2023 17:37	138	36.67	Grocery	UPI	0
364	1/2/2023 17:39	9	40.85	Utility Bills	Credit Card	0
365	1/2/2023 17:44	285	78.56	Medical	UPI	0
366	1/2/2023 17:52	203	197.61	Grocery	UPI	0
367	1/2/2023 17:57	147	36.32	Restaurants	NetBanking	0
368	1/2/2023 18:08	68	51.12	Grocery	UPI	0
369	1/2/2023 18:09	142	23.42	Grocery	Credit Card	0
370	1/2/2023 18:10	91	16.19	Grocery	UPI	0
371	1/2/2023 18:10	78	55.06	Electronics	Credit Card	0
372	2/10/2023 9:20	438	60.2	Fuel	UPI	0
373	1/2/2023 18:15	42	30.26	Utility Bills	NetBanking	0
374	1/2/2023 18:20	231	52.3	Restaurants	Credit Card	0
375	1/2/2023 18:38	13	26.24	Fuel	Credit Card	0
376	1/2/2023 18:41	164	61.79	Fuel	UPI	0
377	1/2/2023 18:44	269	33.17	Fashion	UPI	0
378	1/2/2023 18:46	136	48.09	Fashion	UPI	0
379	1/2/2023 18:57	296	19.38	Fashion	NetBanking	0
380	1/2/2023 19:03	409	90.81	Fashion	UPI	0
381	1/2/2023 19:09	55	19.67	Fuel	Credit Card	0
382	1/2/2023 19:10	187	29.24	Utility Bills	Credit Card	0
383	1/2/2023 19:16	72	39.49	Fuel	UPI	0
384	1/2/2023 19:16	124	23.15	Travel	Credit Card	0
385	1/2/2023 19:21	69	138.77	Utility Bills	Credit Card	0
386	1/2/2023 19:34	484	12.97	Fashion	UPI	0
387	1/2/2023 19:35	315	17.91	Grocery	Credit Card	0
388	1/2/2023 19:35	282	37.72	Electronics	Credit Card	0
389	1/2/2023 19:42	349	20.7	Grocery	Credit Card	0
390	1/2/2023 19:44	228	21.57	Grocery	UPI	0
391	1/2/2023 19:45	231	21.95	Medical	Debit Card	0
392	1/2/2023 20:02	402	40.19	Electronics	UPI	0
393	1/2/2023 20:03	445	73.08	Travel	Credit Card	0
394	1/2/2023 20:04	276	141.6	Electronics	UPI	0
395	1/2/2023 20:05	345	57.37	Electronics	Credit Card	0
396	1/2/2023 20:14	93	21.4	Electronics	UPI	0
397	1/2/2023 20:21	429	56.3	Restaurants	NetBanking	0
398	1/2/2023 20:23	63	10.11	Fuel	UPI	0
399	1/2/2023 20:40	416	37.54	Fashion	NetBanking	0
400	1/2/2023 20:58	366	127.43	Restaurants	UPI	0
401	1/2/2023 21:04	96	17.86	Electronics	Credit Card	0
402	1/2/2023 21:06	292	54.32	Fashion	UPI	0
403	1/2/2023 21:08	247	60.79	Fuel	Credit Card	0
404	1/2/2023 21:08	85	96.26	Fuel	UPI	0
405	1/2/2023 21:17	85	83.67	Utility Bills	Credit Card	0
406	1/2/2023 21:26	418	19.61	Grocery	Credit Card	0
407	1/2/2023 21:29	127	20.38	Medical	Debit Card	0
408	1/2/2023 21:38	459	10.06	Utility Bills	Debit Card	0
409	1/2/2023 21:45	375	94.78	Utility Bills	Debit Card	0
410	1/2/2023 21:50	138	46.49	Fuel	Debit Card	0
411	1/2/2023 21:51	189	62.59	Medical	UPI	0
412	1/2/2023 21:53	354	138.31	Electronics	Debit Card	0
413	1/2/2023 21:54	38	48.19	Utility Bills	UPI	0
414	1/3/2023 9:01	153	21.03	Grocery	UPI	0
415	1/3/2023 9:02	146	34.59	Fashion	Credit Card	0
416	1/3/2023 9:06	403	37.72	Electronics	UPI	0
417	1/3/2023 9:08	344	45.42	Fashion	UPI	0
418	1/3/2023 9:16	189	12.61	Medical	Debit Card	0
419	1/3/2023 9:18	96	36.21	Electronics	Debit Card	0
420	1/3/2023 9:26	302	66.91	Electronics	Credit Card	0
421	1/3/2023 9:33	42	50.96	Restaurants	Credit Card	0
422	1/8/2023 19:14	392	18.48	Grocery	NetBanking	0
423	1/3/2023 9:46	142	45.21	Travel	Credit Card	0
424	1/3/2023 9:46	108	23.46	Utility Bills	Debit Card	0
425	1/3/2023 9:48	295	11.25	Fashion	UPI	0
426	1/3/2023 9:49	302	19.18	Grocery	Credit Card	0
427	1/3/2023 9:51	94	76.13	Travel	UPI	0
428	1/3/2023 9:59	126	39.04	Electronics	Credit Card	0
429	1/3/2023 10:06	352	12.4	Fuel	NetBanking	0
430	1/3/2023 10:07	445	57.48	Grocery	Credit Card	0
431	1/3/2023 10:07	462	55.66	Medical	Debit Card	0
432	1/3/2023 10:07	456	57.21	Travel	UPI	0
433	1/3/2023 10:18	101	97.91	Utility Bills	Credit Card	0
434	1/3/2023 10:33	233	71.51	Medical	Credit Card	0
435	1/3/2023 10:36	233	53.57	Utility Bills	UPI	0
436	1/3/2023 10:53	220	21.52	Fuel	UPI	0
437	1/3/2023 10:58	477	10	Grocery	Credit Card	0
438	1/3/2023 11:04	73	14.95	Utility Bills	UPI	0
439	1/3/2023 11:05	130	27.54	Fuel	Credit Card	0
440	1/3/2023 11:12	183	34.44	Medical	UPI	0
441	1/3/2023 11:12	423	37.71	Electronics	UPI	0
442	1/3/2023 11:14	364	33.29	Fuel	Debit Card	0
443	1/3/2023 11:15	364	15.67	Utility Bills	NetBanking	0
444	1/3/2023 11:16	15	57.89	Electronics	UPI	0
445	1/3/2023 11:29	333	25.29	Fuel	UPI	0
446	1/3/2023 11:35	231	26.27	Utility Bills	Credit Card	0
